,customer_id,prediction
0,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,"[541518023, 611415005, 611415001, 464277014, 464277014, 578374001, 613456009, 613456001, 501820043, 501820043]"
1,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,"[663713001, 611415005, 611415001, 578374001, 464277014, 464277014, 427114015, 505221004, 685687003, 685687004]"
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,"[505221001, 529841001, 501820043, 501820043, 662857005, 534795002, 673677002, 594834010, 685687003, 685687004]"
3,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,"[685687004, 685687001, 685687002, 685687002, 529841001, 501820043, 501820043, 662857005, 534795002, 505221004]"
4,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,"[685687004, 685687001, 685687002, 685687002, 529841001, 501820043, 501820043, 662857005, 534795002, 505221004]"
5,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,"[685687004, 685687001, 685687002, 685687002, 529841001, 501820043, 501820043, 662857005, 534795002, 505221004]"
6,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,"[505221001, 529841001, 501820043, 501820043, 662857005, 534795002, 673677002, 594834010, 685687003, 685687004]"
7,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,"[688873020, 688873011, 671505001, 671505001, 617322004, 620405001, 617322003, 617322003, 613456009, 613456001]"
8,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,"[598859003, 622745001, 397068015, 625229004, 579941002, 524825010, 610671001, 629760002, 562252035, 547752003]"
9,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,"[501323011, 622745001, 397068015, 625229004, 579941002, 524825010, 610671001, 629760002, 562252035, 547752003]"
10,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,"[688873020, 688873011, 671505001, 671505001, 617322004, 620405001, 617322003, 617322003, 613456009, 613456001]"
11,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,"[688873020, 688873011, 671505001, 671505001, 617322004, 620405001, 617322003, 617322003, 613456009, 613456001]"
12,0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,"[255396006, 613456009, 613456001, 501820043, 501820043, 688873012, 688873020, 688873011, 662857005, 534795002]"
13,0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,"[501820043, 501820043, 662857005, 534795002, 505221004, 505221001, 673677002, 594834010, 685687003, 685687004]"
14,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[501820043, 529841001, 662857005, 534795002, 505221004, 505221001, 673677002, 594834010, 685687003, 685687004]"
15,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[501820043, 529841001, 662857005, 534795002, 505221004, 505221001, 673677002, 594834010, 685687003, 685687004]"
16,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[377277001, 377277001, 670295001, 636351002, 664421002, 664421002, 640639001, 640639001, 680187001, 634015003]"
17,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[671505001, 688873012, 688873020, 688873011, 617322004, 620405001, 617322003, 617322003, 692454002, 692454002]"
18,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[671505001, 688873012, 688873020, 688873011, 617322004, 620405001, 617322003, 617322003, 692454002, 692454002]"
19,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[631848002, 631848002, 631848002, 598859003, 397068015, 625229004, 579941002, 524825010, 610671001, 622745001]"
20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[631848002, 631848002, 631848002, 598859003, 397068015, 625229004, 579941002, 524825010, 610671001, 622745001]"
21,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[631848002, 631848002, 631848002, 598859003, 397068015, 625229004, 579941002, 524825010, 610671001, 622745001]"
22,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[631848002, 631848002, 631848002, 598859003, 397068015, 625229004, 579941002, 524825010, 610671001, 622745001]"
23,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[664421002, 664421002, 640639001, 640639001, 674681001, 634015003, 377277001, 377277001, 670295001, 636351002]"
24,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[676827002, 700819006, 700819006, 680912006, 680912006, 680912009, 680912009, 625939005, 507909001, 652075001]"
25,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,"[676827002, 700819006, 700819006, 680912006, 680912006, 680912009, 680912009, 625939005, 507909001, 652075001]"
26,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
27,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
28,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
29,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
30,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
31,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
32,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
33,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
34,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
35,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
36,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
37,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
38,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
39,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
40,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
41,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
42,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
43,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,
44,001127bffdda108579e6cb16080440e89bf1250a776c6e55f56e35e9ee029a8d,
45,001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,
46,001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,
47,001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61,
48,001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61,
49,0021da829b898f82269fc51feded4eac2129058ee95bd75bb1591e2eb14ecc79,
50,0021da829b898f82269fc51feded4eac2129058ee95bd75bb1591e2eb14ecc79,
51,0021da829b898f82269fc51feded4eac2129058ee95bd75bb1591e2eb14ecc79,
52,0021da829b898f82269fc51feded4eac2129058ee95bd75bb1591e2eb14ecc79,
53,00228762ecff5b8d1ea6a2e52b96dafa198febddbc3bf350eb611f28e61ea6ce,
54,002b3c0a44a22c45a8d62ea9d2b88d1a89e335f8b8400335a85c3b5845794cb9,
55,002b3c0a44a22c45a8d62ea9d2b88d1a89e335f8b8400335a85c3b5845794cb9,
56,002b3c0a44a22c45a8d62ea9d2b88d1a89e335f8b8400335a85c3b5845794cb9,
57,003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,
58,003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,
59,003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,
60,003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,
61,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
62,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
63,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
64,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
65,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
66,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
67,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
68,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
69,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
70,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
71,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,
72,00402f4463c8dc1b3ee54abfdea280e96cd87320449eca8953eb06769a5c20d4,
73,00402f4463c8dc1b3ee54abfdea280e96cd87320449eca8953eb06769a5c20d4,
74,0045c79125b4dc958579f902b49eacd8598f9eeaa1220506d1cae1275f122084,
75,0045c79125b4dc958579f902b49eacd8598f9eeaa1220506d1cae1275f122084,
76,0045c79125b4dc958579f902b49eacd8598f9eeaa1220506d1cae1275f122084,
77,0045c79125b4dc958579f902b49eacd8598f9eeaa1220506d1cae1275f122084,
78,004888668b9458668aa3234d17337671673599f7f84d36f77fd366b5139058c5,
79,0051a1d00ec9a4ff1a2f9aa32a4bb054cc9ba08e80be590aec39391ff3dc56e8,
80,005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,
81,005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,
82,005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,
83,005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,
84,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,
85,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,
86,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,
87,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,
88,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,
89,00708c3da4d07706d4cad77c6aecc1b1ce33d21d73022ca12737c91d85bff070,
90,00708c3da4d07706d4cad77c6aecc1b1ce33d21d73022ca12737c91d85bff070,
91,00708c3da4d07706d4cad77c6aecc1b1ce33d21d73022ca12737c91d85bff070,
92,0074c5948b6c96e7522f6f5c034b46cf08875b9a81c557a02bda0aedac355547,
93,00761aefe07a2dd6ca110c99f3856ede55f20ff00ce754bf24c422c6746d05f3,
94,00761aefe07a2dd6ca110c99f3856ede55f20ff00ce754bf24c422c6746d05f3,
95,00761aefe07a2dd6ca110c99f3856ede55f20ff00ce754bf24c422c6746d05f3,
96,0077ba345ef6aa8781802107df25bbb8a14fdcd04130c3ffa5cd1ac4087ad8ab,
97,00796ce0bc561897e7047a7b059867aa6424f63ec597e1fbb3a195e48d5f452b,
98,007e4c2e0994b4aac97c2713d5dc0b7497d74113f32446868ca22b6437e9594d,
99,007ea762fbbebfad288a49f1d8f7c2c0c62b189a8816fa6968e60f2c197ce938,
